Freq.	Temp.	E'(G')	"E""(G"")"	tanD
Hz	Cel	Pa	Pa	
20	-25.69731712	5040790086	316011466.5	0.062690862
10	-25.53009033	5136406697	303397709.7	0.059068087
5	-25.34542274	5054842369	281054968	0.055601135
1	-25.07389069	4859391417	245816945.1	0.050585952
0.200000003	-24.44191551	4725117570	219046145.5	0.046357822
20	-24.27195168	5250050472	323882702.9	0.061691351
10	-24.10096359	5166067667	298826086.1	0.057844013
5	-23.89440727	5070848711	280024241.6	0.055222362
1	-23.56918716	4875764953	248284763.3	0.050922219
0.200000003	-22.83803749	4731486308	211885448.6	0.044782005
20	-22.65884018	5262770423	322512165.1	0.061281823
10	-22.45628929	5169072403	296790816.8	0.057416648
5	-22.2315731	5074923735	275962491.5	0.054377664
1	-21.87738419	4886829190	231298314.7	0.047330957
0.200000003	-21.0917244	4732659662	208247484.8	0.044002209
20	-20.89513969	5253405295	319823743.3	0.06087932
10	-20.69482803	5162050226	296737537.1	0.057484433
5	-20.46299362	5068421472	274092277.1	0.05407843
1	-20.11015892	4892947151	242404644.2	0.049541641
0.200000003	-19.32721138	4723610821	214008004.9	0.045306019
20	-19.12859344	5239869170	318559582.4	0.060795333
10	-18.93404388	5142828011	292803757.4	0.056934386
5	-18.72424126	5049096192	270036160.2	0.053482078
1	-18.38428497	4877492019	225785025	0.046291213
0.200000003	-17.59245682	4721590000	204686180.7	0.043351114
20	-17.38885307	5211253036	315271392.2	0.060498193
10	-17.17884636	5117596325	287905101.2	0.056257877
5	-16.95569229	5030236582	264533902	0.052588757
1	-16.578825	4837453632	230952322.6	0.047742538
0.200000003	-15.74216557	4692312915	201196542.1	0.042877905
20	-15.53047276	5170544102	310399441.1	0.06003226
10	-15.31877995	5078089118	286893882	0.056496426
5	-15.08787251	4990471505	264766110.8	0.053054325
1	-14.71774769	4815952308	216907876.5	0.045039456
0.200000003	-13.8702364	4655663566	176902166.9	0.037997197
20	-13.65814972	5125341208	306184163	0.059739273
10	-13.45338821	5036270673	280287145.5	0.05565371
5	-13.22498703	4947973333	257801542.2	0.052102454
1	-12.87905693	4782927336	211050576.7	0.044125818
0.200000003	-12.08731174	4608583808	199490326.5	0.043286689
20	-11.87888813	5084061036	298844863.1	0.058780741
10	-11.66380501	4997731942	273944773.4	0.054813821
5	-11.44139767	4913671108	252202504.2	0.051326696
1	-11.08015156	4759484054	210103799	0.044144239
0.200000003	-10.21282864	4607129634	171632691.2	0.037253715
20	-10.00307274	5036564846	290560480.7	0.057690211
10	-9.785326004	4956115453	266801536.6	0.053832795
5	-9.558529854	4873036030	242797291.9	0.049824648
1	-9.201973915	4717267953	203000189.5	0.043033425
0.200000003	-8.396004677	4550514085	192125521.1	0.042220619
20	-8.193108559	4995155739	283414244.8	0.056737818
10	-7.971375942	4915296778	259824684.7	0.052860428
5	-7.741382599	4834347500	236709843.6	0.048964176
1	-7.370616913	4689373690	211818490.4	0.04516989
0.200000003	-6.531933308	4533790880	176144945.6	0.038851582
20	-6.307888031	4939992277	278609838.6	0.056398842
10	-6.079216003	4863139721	255856689.3	0.052611422
5	-5.838317871	4788179052	233836025.1	0.048836108
1	-5.475813389	4638745080	200725344	0.043271475
0.200000003	-4.62697506	4515782493	180829622.3	0.040043917
20	-4.421038628	4895380650	273546596.9	0.055878513
10	-4.213788033	4818399159	249089409.5	0.05169547
5	-3.996027708	4746978995	230161811.3	0.048485957
1	-3.632436514	4600688292	200480565	0.043576211
0.200000003	-2.79949379	4487666661	182806265.7	0.04073526
20	-2.586003065	4846050573	268823792.5	0.055472758
10	-2.369556189	4779081808	241117038.1	0.050452586
5	-2.131431818	4706954378	224209400.8	0.047633648
1	-1.779993176	4572554935	201240159.5	0.044010442
0.200000003	-0.959019303	4458314052	177190445.8	0.039743822
20	-0.730834782	4808692289	261079039.9	0.054293148
10	-0.508199811	4737034701	238577450	0.050364304
5	-0.290787965	4673233406	219469123.3	0.046963014
1	0.066342026	4545967133	179642238.4	0.039516836
0.200000003	0.87918818	4436543591	183297636.1	0.041315414
20	1.082889438	4769535169	254667401.6	0.053394593
10	1.296383858	4705354996	231698864.5	0.049241528
5	1.51771307	4641084276	212929840.5	0.04587933
1	1.870925784	4509558547	184438820.8	0.04089953
0.200000003	2.706623077	4412804884	171047722.7	0.038761679
20	2.919791222	4727372478	245481593.2	0.051927701
10	3.133010864	4666829617	224502634.8	0.04810603
5	3.356467962	4604492928	206118969.5	0.04476475
1	3.711028337	4476090438	185286745.4	0.041394774
0.200000003	4.545116901	4387864450	167045876.5	0.038069971
20	4.77696991	4683284938	235738681.9	0.050336182
10	4.998166561	4626803331	216057344	0.046696894
5	5.228404522	4570743164	199432339.5	0.043632366
1	5.596850395	4459430657	182426462	0.040908016
0.200000003	6.44805336	4359383927	157986408.6	0.036240537
20	6.655041695	4653051061	226925753.3	0.048769236
10	6.881082058	4595424893	206771104.8	0.044994991
5	7.12635231	4539532466	190134221.2	0.041884098
1	7.506857872	4428208276	173365859.6	0.039150339
0.200000003	8.375480652	4333483363	161057346.4	0.037165795
20	8.599401474	4618497225	220531979.2	0.047749728
10	8.823645592	4563427648	201054371.6	0.044057753
5	9.056588173	4510574591	185203891.9	0.041059934
1	9.427750587	4404757066	160723259.3	0.036488563
0.200000003	10.24353409	4317012604	155033518.1	0.035912223
20	10.44973469	4580873142	215772168.4	0.047102846
10	10.65819168	4549177581	182731770.6	0.040168088
5	10.87663555	4479969347	182152304.9	0.040659275
1	11.22814465	4382721224	158428176.4	0.036148358
0.200000003	12.01396465	4290276255	149875113.5	0.034933675
20	12.21178818	4537750321	210160195.2	0.04631374
10	12.40639114	4488977295	190889395.3	0.042524029
5	12.62805748	4440875651	177457457.3	0.039960016
1	12.99728584	4353071937	164524178.7	0.037794959
0.200000003	13.8610754	4266169519	144557091.5	0.033884518
20	14.08080864	4509273137	202293118.4	0.044861581
10	14.30634117	4462897724	187163310.1	0.041937619
5	14.54347229	4416631218	173903311.9	0.03937465
1	14.9185009	4331104527	153375288.1	0.035412513
0.200000003	15.74314499	4259842090	149920256.5	0.035193853
20	15.95894051	4490254965	199785959.8	0.044493232
10	16.18078423	4447550246	182083703.7	0.040940225
5	16.40262794	4405055829	169726292	0.038529884
1	16.75878525	4322224679	159239381.5	0.036841996
0.200000003	17.55003738	4251453365	148470959.7	0.034922402
20	17.75755882	4471423312	193646092.3	0.043307483
10	17.96253204	4428545427	178146038.2	0.040226761
5	18.18342018	4389240178	165671687.6	0.037744958
1	18.55613136	4306356870	142516136.9	0.033094361
0.200000003	19.38175583	4244162468	144569426.9	0.034063123
20	19.58800507	4449683729	188158073.3	0.042285718
10	19.80475426	4412975546	174139263	0.039460737
5	20.0377388	4377018025	162120098	0.037038937
1	20.40249062	4292481508	150768324.6	0.035123814
0.200000003	21.23766518	4222231777	138104704.5	0.032708935
20	21.45759964	4421837034	182293719.1	0.041225787
10	21.66798401	4384058563	167523294.5	0.038211919
5	21.89873886	4347765142	155069663.8	0.035666522
1	22.26508331	4268134009	137693149.3	0.032260738
0.200000003	23.10630608	4197892206	130660553.3	0.031125275
20	23.32560158	4408056392	170636480.5	0.03871014
10	23.53993797	4372071749	154756322.8	0.035396565
5	23.77054214	4336415912	144275449.7	0.033270668
1	24.13052559	4251741279	134891531	0.031726185
0.200000003	24.94855499	4171238059	140223596.6	0.033616781
20	25.15859795	4384073167	163059247.4	0.037193552
10	25.37654877	4350970583	152140466.2	0.034967016
5	25.60968399	4317911813	140077996.7	0.032441143
1	25.96207619	4244663188	127282285.7	0.029986426
0.200000003	26.78421783	4157989431	136853205	0.032913312
20	26.99584198	4361255785	161116950.3	0.036942787
10	27.20809937	4330651793	147349269.2	0.034024734
5	27.43680573	4296062071	138478014.5	0.032233708
1	27.7931881	4226939794	126144295.8	0.029842937
0.200000003	28.63838005	4143803206	134666533.1	0.032498293
20	28.85504913	4335604746	157802485.3	0.03639688
10	29.07582283	4304533415	145552780.6	0.033813834
5	29.31175613	4271860616	137213214.7	0.032120246
1	29.67560577	4207652904	139701609.3	0.033201791
0.200000003	30.50753403	4128259613	137996293.4	0.033427231
20	30.72104454	4304056480	153324446.8	0.035623241
10	30.93265724	4274067539	141028686.2	0.032996364
5	31.16195869	4245891620	132953067.5	0.031313345
1	31.52296638	4177759517	124328000	0.029759491
0.200000003	32.36769485	4113204638	127253077.1	0.030937698
20	32.57767105	4285579503	150698784.5	0.035164155
10	32.79738617	4258115441	140570944.9	0.03301248
5	33.0369072	4227193910	131771864.3	0.031172421
1	33.40907669	4161176095	128202019.3	0.030809084
0.200000003	34.23545074	4086979441	133318645	0.032620337
